length,height,speed,distance,object
13,37,0.02531071482543657,509,True
23,37,0.3549431460769242,497,True
23,37,0.34923430474604494,484,True
23,37,0.27599956131051173,475,True
23,37,0.3381559242147043,462,True
23,37,0.3500886169413608,449,True
25,37,0.29700304487488977,438,True
23,37,0.29540756297140514,427,True
23,37,0.3791316246923195,414,True
23,37,0.2643654037397577,405,True
23,37,0.31067384326699915,393,True
23,37,0.40632918609961666,379,True
23,37,0.36720532834081987,366,True
23,37,0.2240202960282542,358,True
23,37,0.4019783551060128,345,True
23,37,0.2576529656678725,336,True
23,37,0.36197879614692663,323,True
23,37,0.4000143202993177,310,True
23,37,0.2725501147997863,301,True
23,37,0.37199020323511556,288,True
23,37,0.24424361447361717,280,True
23,37,0.3673686153763231,267,True
23,37,0.27161662997021113,258,True
23,37,0.40291402434068085,245,True
23,37,0.28164603182893255,236,True
23,37,0.3906598077005746,223,True
23,37,0.23830257233356533,215,True
23,37,0.2598719253196015,206,True
23,37,0.40743306333502705,193,True
23,37,0.272678084616107,184,True
23,37,0.3776087757448164,171,True
23,37,0.3435268264408659,158,True
23,37,0.23967280233712615,150,True
23,37,0.32642256691470956,137,True
23,37,0.3915378462024544,124,True
23,37,0.2575931870291516,115,True
23,37,0.3670940794700203,102,True
23,37,0.38929590255813457,89,True
23,37,0.30112879969278544,46,True
23,37,0.30112879969278544,231,True
23,37,0.2627808786573014,222,True
23,37,0.3935471093468062,209,True
23,37,0.3351627500998863,196,True
23,37,0.24499975904846047,188,True
23,37,0.41683411891646316,174,True
23,37,0.21927848283253387,166,True
23,37,0.3980868219318099,153,True
23,37,0.3312975945267737,140,True
23,37,0.3604854783580264,127,True
23,37,0.27180633779998703,118,True
23,37,0.3964658765360285,105,True
23,37,0.2284712627242706,97,True
23,37,0.3959994189931151,84,True
23,37,0.32381335373783193,39,True
49,22,0.32381335373783193,207,True
49,22,0.3377622923866725,195,True
49,22,0.30830269396155685,185,True
49,22,0.3912159086669403,170,True
49,22,0.36735855005780615,155,True
49,22,0.44265503412368956,140,True
49,22,0.2766563549176489,130,True
49,22,0.43712219219198356,115,True
49,22,0.29692295712131617,105,True
49,22,0.3835552033164665,90,True
49,22,0.38357521882474027,31,True
15,22,0.17516627896778827,1,True
44,22,0.17516627896778827,478,True
49,22,0.31245979066562374,468,True
49,22,0.3670713435552755,453,True
49,22,0.43740482215856946,438,True
49,22,0.3025254791082132,428,True
49,22,0.42767599314789134,413,True
49,22,0.31754341868176794,403,True
49,22,0.45706182346531055,388,True
49,22,0.2767531045040052,378,True
49,22,0.4332391766917552,363,True
49,22,0.44498122175306076,348,True
49,22,0.29826798082803546,338,True
49,22,0.4533108531655967,323,True
49,22,0.32677371352888473,313,True
49,22,0.3701444347043354,298,True
49,22,0.3253239430065076,288,True
49,22,0.4601977880507929,273,True
49,22,0.26715482264218243,263,True
49,22,0.44268306583826456,248,True
49,22,0.45693236206232885,233,True
49,22,0.2580856038790027,223,True
49,22,0.4423469194046221,208,True
49,22,0.3097004378613464,198,True
49,22,0.48020516578127864,183,True
49,22,0.30738536177822073,173,True
49,22,0.44944107898045493,158,True
49,22,0.37397943291921776,143,True
49,22,0.27788441535210057,133,True
49,22,0.4516576810699441,118,True
49,22,0.29013274305675646,108,True
49,22,0.4656267854763984,93,True
49,22,0.2945851945497963,83,True
49,22,0.39053440438805137,28,True
23,37,0.39053440438805137,429,True
23,37,0.3022377229328049,419,True
23,37,0.3577129861269047,404,True
23,37,0.4499425007866808,389,True
23,37,0.4395285767180612,374,True
23,37,0.2791308572303228,364,True
23,37,0.45369659121229383,349,True
23,37,0.29429581813078864,339,True
23,37,0.3982942517092935,324,True
23,37,0.43681241398805315,310,True
23,37,0.27686088649790425,300,True
23,37,0.4635272968393133,285,True
23,37,0.28460850506544705,275,True
23,37,0.42134047682828824,260,True
23,37,0.4062437285705984,245,True
23,37,0.39783083771752326,230,True
23,37,0.3037787804825054,220,True
23,37,0.42480847529726334,205,True
23,37,0.29669611719849753,195,True
23,37,0.3753852028639618,180,True
23,37,0.4681386679365741,165,True
23,37,0.3143943811886754,155,True
23,37,0.3980498174709124,140,True
23,37,0.2842097274506851,131,True
23,37,0.4949615293839981,116,True
23,37,0.2663658995071889,106,True
23,37,0.4616532018403152,91,True
23,37,0.3177190125214941,81,True
23,37,0.39350744144882305,21,True
23,37,0.39350744144882305,326,True
23,37,0.3739861021120272,311,True
23,37,0.4590661734124291,296,True
23,37,0.3110832239355035,286,True
23,37,0.3619731891145504,271,True
23,37,0.41905604326801393,256,True
23,37,0.28313682604616,246,True
23,37,0.4020228122304227,231,True
23,37,0.40812268092062587,216,True
23,37,0.2663236162525637,206,True
23,37,0.4369916372628011,191,True
23,37,0.46503137680998735,176,True
23,37,0.2657936794611002,166,True
23,37,0.45723787582578107,151,True
23,37,0.3186192646611972,141,True
23,37,0.4084061564826776,126,True
23,37,0.458828471411902,111,True
23,37,0.31525690748925167,101,True
23,37,0.3490270003384057,86,True
23,37,0.36168082299274795,36,True
32,22,0.36168082299274795,215,True
32,22,0.31811420640277893,205,True
32,22,0.43603459747172324,190,True
32,22,0.3997341652318112,175,True
32,22,0.32639482039469586,165,True
32,22,0.41440504811650714,150,True
32,22,0.3083457574287269,140,True
32,22,0.4267013917148205,125,True
32,22,0.2928594669701646,115,True
32,22,0.391123710378854,60,True
32,22,0.3604809502118553,10,True
23,37,0.3604809502118553,344,True
23,37,0.4231541565778854,329,True
23,37,0.4033040014285911,315,True
23,37,0.3058968019545637,305,True
23,37,0.4758827889808329,290,True
23,37,0.28583430444530766,280,True
23,37,0.4159530326470705,265,True
23,37,0.2850049603848715,255,True
23,37,0.4416916596461668,240,True
23,37,0.4678010260985947,225,True
23,37,0.2996188244706689,215,True
23,37,0.2724016236402013,205,True
23,37,0.4428949758188845,190,True
23,37,0.4236756298107032,175,True
23,37,0.31863136703764194,165,True
23,37,0.45534497608001795,150,True
23,37,0.2909720564974887,140,True
23,37,0.4328665785997358,125,True
23,37,0.3038756185384019,115,True
23,37,0.43423791282741486,100,True
23,37,0.28365766070402054,90,True
23,37,0.43986967768999513,75,True
23,37,0.4198922815096606,60,True
23,37,0.2564617689320982,50,True
23,37,0.2564617689320982,269,True
23,37,0.4472047994086037,254,True
23,37,0.2850165805925523,244,True
23,37,0.43590469129985937,229,True
23,37,0.43001155089570703,214,True
23,37,0.2977006175030165,204,True
23,37,0.3905795877824683,189,True
23,37,0.43516901262320595,174,True
23,37,0.28002537003531774,164,True
23,37,0.4543256378223413,149,True
23,37,0.3120158302709297,139,True
23,37,0.4334570708114588,124,True
23,37,0.24497579038974845,114,True
23,37,0.4470681532328551,99,True
23,37,0.41022227728259664,84,True
23,37,0.30179191250539644,74,True
23,37,0.40323360578368517,19,True
23,37,0.30931217321406185,9,True
15,22,0.30931217321406185,292,True
15,22,0.28625762684102046,282,True
15,22,0.43732577053009136,267,True
15,22,0.3068748445250882,257,True
15,22,0.4492838116729628,242,True
15,22,0.2820762102035052,232,True
15,22,0.42922825019102717,217,True
15,22,0.41647343858603914,202,True
15,22,0.29244699172366667,192,True
15,22,0.46102736212683015,177,True
15,22,0.3012413634600744,167,True
15,22,0.37164217192004156,152,True
15,22,0.44591160377625944,137,True
15,22,0.42362428037571964,122,True
15,22,0.2974662591045454,112,True
